id,account,password_hash,is_staff,is_admin,first_name,last_name,gender,email,phone,last_login,line_user_id,created_at,updated_at
1,admin,scrypt:32768:8:1$ir8pUcZlMnt5jFPF$79f2e8839db686859c94156a46c7e48ba98727ce64f015e1fd572d2c1e92445bd3668167e3bf4748fddf7f9bd817240fe4c963b7d085ca411f0d70171cc994df,True,True,Admin,User,,admin@example.com,,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
2,therapist_01,scrypt:32768:8:1$IHaX3KyWB6qz3QW7$73912dec62eab1791d469684e3c9b7c747594ba51daaf9fa5fe4f652c6c410eb2801c2dd255cd2659587ee05adf08e421acc9e457bd3f5219a2affb5d8c8170d,True,False,美玉,陳,,therapist_01@example.com,06 7850552,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
3,therapist_02,scrypt:32768:8:1$dop6uFQYPMAkpfY0$72da59f0a64cbc1d8b0f27ee7e62c959508bac2ffe40a2933db9ba119945d348c352478dba4bf7162fd642abe2f4a52ca0c8e00175dacda4204fe5b3c0cbc239,True,False,美珠,黃,,therapist_02@example.com,(05) 98825139,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
4,therapist_03,scrypt:32768:8:1$8PPatnRDCEgX9fFj$04d262c64d3ae9403cf5071fcbee204cc27f013d30e05a4047c5b170f72d42badc4ccabea719567738441d7897fbbc243db3b4e8f18dd02714b56880da63d0a4,True,False,家豪,邱,,therapist_03@example.com,01-77125945,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
5,therapist_04,scrypt:32768:8:1$SPyQZmWOf9V0voNE$f6ffe8bdc621b6ac49433fb5abc341ef92ffc2b00672d32ddadb9845f2b9ea541ffc41cc981bfc1c557c70674b44087032748714a03b4bebc33b85fa1cc97c33,True,False,宇軒,蘇,,therapist_04@example.com,037 35250369,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
6,therapist_05,scrypt:32768:8:1$JtoK2vNug8XzSLb8$b2bbfac580c684f0f40b4301a6e5f4f58690c183e9183e6a29ed076e3fc31ff7085210f93f2b132a1efa822f2798a18d1e7b5e51f3d6e2435ae26b0302371ff9,True,False,建興,林,,therapist_05@example.com,0968-559749,,,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
7,patient_001,scrypt:32768:8:1$36rbKYckxOdGs08K$ae87d4dff3a4a7e26b60e19bf8ccf1d0117ec70c300aa5462f73df961a18484a9abb6e334865b5f47d994d237eade41dd18da5967c1e0b9c28f264563d2a2801,False,False,素珠,林,other,patient_001@example.com,05-28134229,,U30f06b0c83734a4588f3ab2d830d4726,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
8,patient_002,scrypt:32768:8:1$30Hcg9KmCpdK5QQh$9e3a986087b95abe9067f0786caafccb4d7a7b0d7292a6757a9f341dbb508697038b51fdd23d6f2ab04fb9f4e99c1a60ce13499f1db09945b57b7f94dea40b35,False,False,秀梅,何,male,patient_002@example.com,041 66973903,,Ud6174ffdf033431ebb45a9babfa19acb,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
9,patient_003,scrypt:32768:8:1$eRPKpvB0CfYydC5K$06039ecde97f131e9c54cfa90654e7edd896c8853c6e71830b49c602ad9e59824f19ff6c4bdd2a539d37b32f312c24224f9d319cc5095fa69d6a6773a4ad101e,False,False,建成,李,male,patient_003@example.com,02 3350904,,U8edd5030736348e189984de060a5f6e0,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
10,patient_004,scrypt:32768:8:1$vOCA7wVUs3TiZR4p$2ae0dea28aca25761dc40cb47267efa6fad2c4f6b654a20c47810a75917cc93ee8ce4bb6f793c7ac322baf43e243920137797cfc2ce71e7d87b6a690e5ed8a77,False,False,碧雲,陳,other,patient_004@example.com,075 47690403,,Ucaa66131d46b47a8913e5a5991fce0f7,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
